date,Tweet count,Retweet count,Like count,Avg VADER Neg,Avg VADER Neu,Avg VADER Pos,Avg VADER Comp,Avg VADER Score,FinBert Pos count,FinBert Neu count,FinBert Neg count,FinBert proportion Pos,FinBert proportion Neu,FinBert proportion Neg
13/7/2021,238,180,1316,9.867,212.663,15.472,21.3484,536950.4124,14,217,7,0.058823529,0.911764706,0.029411765
14/7/2021,271,500,3361,11.469,238.562,20.967,41.5958,1549013.786,18,245,8,0.066420664,0.904059041,0.029520295
15/7/2021,270,165,1277,14.089,236.12,19.785,31.0872,397789.4948,16,240,14,0.059259259,0.888888889,0.051851852
16/7/2021,245,100,744,10.85,217.765,16.387,28.8451,2190672.649,11,225,9,0.044897959,0.918367347,0.036734694
17/7/2021,233,114,878,10.11,209.143,13.748,17.1194,117330.9955,5,214,14,0.021459227,0.918454936,0.060085837
18/7/2021,234,120,765,9.135,208.628,16.238,37.1574,-123615.7871,14,218,2,0.05982906,0.931623932,0.008547009
19/7/2021,307,220,1457,13.066,272.961,20.969,32.2763,630287.3302,18,282,7,0.058631922,0.918566775,0.022801303
20/7/2021,335,180,1501,15.775,297.186,22.038,34.4402,806549.1892,20,300,15,0.059701493,0.895522388,0.044776119
21/7/2021,328,281,2155,14.12,287.698,26.187,52.6902,197819.1279,19,299,10,0.057926829,0.911585366,0.030487805
22/7/2021,273,308,2045,10.885,242.282,19.824,39.4427,2229209.813,9,258,6,0.032967033,0.945054945,0.021978022
23/7/2021,251,143,956,9.761,221.489,19.757,49.3594,-169522.4532,19,225,7,0.075697211,0.896414343,0.027888446
24/7/2021,227,57,378,8.821,204.266,13.912,23.1845,70891.2553,15,212,0,0.066079295,0.933920705,0
25/7/2021,246,648,4058,8.976,220.239,16.784,38.7504,980296.6795,16,224,6,0.06504065,0.910569106,0.024390244
26/7/2021,404,685,4578,16.907,357.343,29.745,59.5953,2454740.646,26,371,7,0.064356436,0.918316832,0.017326733
27/7/2021,307,1401,7463,12.983,272.418,21.605,37.1505,-3566757.982,19,278,10,0.061889251,0.905537459,0.03257329
28/7/2021,295,346,2540,14.159,259.785,21.058,32.3491,266041.9333,27,258,10,0.091525424,0.874576271,0.033898305
29/7/2021,257,218,2470,7.697,232.221,17.084,38.3733,479624.6563,16,238,3,0.062256809,0.926070039,0.011673152
30/7/2021,227,106,1129,7.253,204.829,14.919,37.7207,260903.5211,12,212,3,0.052863436,0.933920705,0.013215859
31/7/2021,236,87,1136,9.576,211.8,14.623,18.4745,567291.6265,8,221,7,0.033898305,0.936440678,0.029661017
1/8/2021,338,125,623,8.129,313.267,16.611,36.2088,204563.0104,8,327,3,0.023668639,0.967455621,0.00887574
2/8/2021,223,121,843,8.155,202.015,12.829,25.2182,291534.7478,11,207,5,0.049327354,0.928251121,0.022421525
3/8/2021,251,203,1037,8.344,226.943,15.711,33.8971,479422.3516,18,228,5,0.071713147,0.908366534,0.019920319
4/8/2021,221,458,4320,6.542,201.007,13.456,30.8818,-201556.4501,9,209,3,0.040723982,0.945701357,0.013574661
5/8/2021,221,763,1149,10.121,196.549,14.322,18.6658,1454513.76,14,202,5,0.063348416,0.914027149,0.022624434
6/8/2021,203,222,1449,9.906,179.842,13.254,13.3465,303716.2536,12,188,3,0.0591133,0.926108374,0.014778325
7/8/2021,215,90,599,7.638,192.199,15.163,38.6825,-83310.4036,16,197,2,0.074418605,0.91627907,0.009302326
8/8/2021,197,133,995,8.325,174.986,13.692,20.9115,81331.4675,8,185,4,0.040609137,0.939086294,0.020304569
